Run,Horizon,Theta,Choice,Policy,Loc_Dep,Joint,Doubly,beta,gamma,Profit
1,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.1833333333333
2,7,1.5,1,DCPP,1,1,0,0.0,1.0,245.8
3,7,1.5,1,DCPP,1,1,0,0.0,1.0,248.36666666666667
4,7,1.5,1,DCPP,1,1,0,0.0,1.0,242.61666666666667
5,7,1.5,1,DCPP,1,1,0,0.0,1.0,254.6833333333333
6,7,1.5,1,DCPP,1,1,0,0.0,1.0,248.98333333333332
7,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.0833333333333
8,7,1.5,1,DCPP,1,1,0,0.0,1.0,241.6833333333333
9,7,1.5,1,DCPP,1,1,0,0.0,1.0,241.76666666666668
10,7,1.5,1,DCPP,1,1,0,0.0,1.0,241.6
11,7,1.5,1,DCPP,1,1,0,0.0,1.0,243.3333333333333
12,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.73333333333332
13,7,1.5,1,DCPP,1,1,0,0.0,1.0,249.81666666666663
14,7,1.5,1,DCPP,1,1,0,0.0,1.0,245.75
15,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.55
16,7,1.5,1,DCPP,1,1,0,0.0,1.0,249.46666666666667
17,7,1.5,1,DCPP,1,1,0,0.0,1.0,249.63333333333333
18,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.6833333333333
19,7,1.5,1,DCPP,1,1,0,0.0,1.0,249.66666666666663
20,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.1
21,7,1.5,1,DCPP,1,1,0,0.0,1.0,251.98333333333332
22,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.48333333333332
23,7,1.5,1,DCPP,1,1,0,0.0,1.0,242.15
24,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.95
25,7,1.5,1,DCPP,1,1,0,0.0,1.0,250.5833333333333
26,7,1.5,1,DCPP,1,1,0,0.0,1.0,239.95
27,7,1.5,1,DCPP,1,1,0,0.0,1.0,243.75
28,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.66666666666663
29,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.9
30,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.11666666666667
31,7,1.5,1,DCPP,1,1,0,0.0,1.0,241.63333333333333
32,7,1.5,1,DCPP,1,1,0,0.0,1.0,245.86666666666667
33,7,1.5,1,DCPP,1,1,0,0.0,1.0,250.06666666666663
34,7,1.5,1,DCPP,1,1,0,0.0,1.0,242.86666666666667
35,7,1.5,1,DCPP,1,1,0,0.0,1.0,245.46666666666667
36,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.78333333333333
37,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.96666666666667
38,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.85
39,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.05
0,7,1.5,0,DCPP,1,0,0,0.0,1.0,251.35
1,7,1.5,0,DCPP,1,0,0,0.0,1.0,246.01666666666668
2,7,1.5,0,DCPP,1,0,0,0.0,1.0,252.73333333333332
3,7,1.5,0,DCPP,1,0,0,0.0,1.0,255.8
4,7,1.5,0,DCPP,1,0,0,0.0,1.0,246.36666666666667
5,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.13333333333333
6,7,1.5,0,DCPP,1,0,0,0.0,1.0,260.23333333333335
7,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.3
8,7,1.5,0,DCPP,1,0,0,0.0,1.0,251.98333333333332
9,7,1.5,0,DCPP,1,0,0,0.0,1.0,246.8333333333333
10,7,1.5,0,DCPP,1,0,0,0.0,1.0,245.9333333333333
11,7,1.5,0,DCPP,1,0,0,0.0,1.0,247.73333333333332
12,7,1.5,0,DCPP,1,0,0,0.0,1.0,258.6666666666667
13,7,1.5,0,DCPP,1,0,0,0.0,1.0,258.75
14,7,1.5,0,DCPP,1,0,0,0.0,1.0,254.0
15,7,1.5,0,DCPP,1,0,0,0.0,1.0,251.88333333333333
16,7,1.5,0,DCPP,1,0,0,0.0,1.0,262.81666666666666
17,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.75
18,7,1.5,0,DCPP,1,0,0,0.0,1.0,252.21666666666667
19,7,1.5,0,DCPP,1,0,0,0.0,1.0,254.91666666666663
20,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.2
21,7,1.5,0,DCPP,1,0,0,0.0,1.0,260.2
22,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.23333333333332
23,7,1.5,0,DCPP,1,0,0,0.0,1.0,247.46666666666667
24,7,1.5,0,DCPP,1,0,0,0.0,1.0,249.53333333333333
25,7,1.5,0,DCPP,1,0,0,0.0,1.0,258.3
26,7,1.5,0,DCPP,1,0,0,0.0,1.0,255.95
27,7,1.5,0,DCPP,1,0,0,0.0,1.0,256.8
28,7,1.5,0,DCPP,1,0,0,0.0,1.0,252.7
29,7,1.5,0,DCPP,1,0,0,0.0,1.0,255.13333333333333
30,7,1.5,0,DCPP,1,0,0,0.0,1.0,261.71666666666664
31,7,1.5,0,DCPP,1,0,0,0.0,1.0,249.05
32,7,1.5,0,DCPP,1,0,0,0.0,1.0,263.6
33,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.91666666666663
34,7,1.5,0,DCPP,1,0,0,0.0,1.0,246.98333333333332
35,7,1.5,0,DCPP,1,0,0,0.0,1.0,252.35
36,7,1.5,0,DCPP,1,0,0,0.0,1.0,262.73333333333335
37,7,1.5,0,DCPP,1,0,0,0.0,1.0,256.93333333333334
38,7,1.5,0,DCPP,1,0,0,0.0,1.0,249.13333333333333
39,7,1.5,0,DCPP,1,0,0,0.0,1.0,261.7
0,7,1.75,0,DCPP,1,0,0,0.0,1.0,232.24166666666667
1,7,1.75,0,DCPP,1,0,0,0.0,1.0,226.28333333333333
2,7,1.75,0,DCPP,1,0,0,0.0,1.0,237.49166666666667
3,7,1.75,0,DCPP,1,0,0,0.0,1.0,232.85
4,7,1.75,0,DCPP,1,0,0,0.0,1.0,223.7
5,7,1.75,0,DCPP,1,0,0,0.0,1.0,235.53333333333333
6,7,1.75,0,DCPP,1,0,0,0.0,1.0,235.03333333333333
7,7,1.75,0,DCPP,1,0,0,0.0,1.0,229.275
8,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.0833333333333
9,7,1.75,0,DCPP,1,0,0,0.0,1.0,222.50833333333333
10,7,1.75,0,DCPP,1,0,0,0.0,1.0,226.59166666666667
11,7,1.75,0,DCPP,1,0,0,0.0,1.0,225.84166666666667
12,7,1.75,0,DCPP,1,0,0,0.0,1.0,235.69166666666663
13,7,1.75,0,DCPP,1,0,0,0.0,1.0,236.54166666666663
14,7,1.75,0,DCPP,1,0,0,0.0,1.0,236.98333333333332
15,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.75833333333333
16,7,1.75,0,DCPP,1,0,0,0.0,1.0,239.94166666666663
17,7,1.75,0,DCPP,1,0,0,0.0,1.0,231.775
18,7,1.75,0,DCPP,1,0,0,0.0,1.0,226.675
19,7,1.75,0,DCPP,1,0,0,0.0,1.0,226.01666666666668
20,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.5
21,7,1.75,0,DCPP,1,0,0,0.0,1.0,237.025
